,0
0,18.819848963520023
1,96.39560952893893
2,98.60971704798389
3,63.44385829003706
4,13.552892132712197
5,19.180767132489407
6,54.746109819909904
7,76.3671915806816
8,45.66711332647854
9,148.24095514141646
10,671.3861012929045
11,119.47374968911325
12,21.431174459576507
13,100.55166256268977
14,46.84500900589593
15,89.20182155021618
16,45.82558235606221
17,21.15035447330751
18,46.447985072090916
19,80.79750886649192
20,53.778101720908616
21,127.25584757208445
22,124.93480677951226
23,85.65468979373277
24,29.581283294512847
25,83.14655686781641
26,64.8992726176273
27,24.367069653217634
28,77.34729899591129
29,47.65105253038598
30,69.89664733062851
31,83.16717229777723
32,47.17576054191206
33,60.88090717553617
34,87.97277101181388
35,47.580617577804794
36,619.1395960601116
37,183.43882745439092
38,141.3997676794411
39,48.842593347825655
40,52.75016980287213
41,48.19907653559169
42,108.60277552422372
43,91.06988194040868
44,82.52687893222671
45,128.31258200607598
46,17.815976830769316
47,71.27942911791062
48,52.785145573044446
49,41.460853547454185
50,18.209928859127515
51,94.38541675936543
52,80.09904208354216
53,60.97757305826
54,156.1195529685733
55,44.54164343210939
56,55.150752346357656
57,60.147315776271505
58,44.01568543891331
59,382.87290063948285
60,47.522382214898215
61,46.38931769593321
62,26.46863405094855
63,79.986837305589
64,33.82213717107541
65,31.72291294749588
66,83.1908677050043
67,21.562168545192964
68,75.3577060736956
69,45.93533117555444
70,44.21778651904295
71,171.72390941557435
72,81.98828035729498
73,57.062714756223336
74,25.8915228452928
75,285.9843331239684
76,79.78749854265445
77,79.60092379858926
78,52.03593497770885
79,75.03818170235259
80,75.50374362611814
81,48.80798124476296
82,88.04579472733312
83,95.59940220036088
84,54.96323635924672
85,56.92432435246011
86,27.397699201708214
87,61.09852000445304
88,85.93586257650952
89,19.603868000521675
90,47.38354653751134
91,98.019323507261
92,72.36635595753528
93,109.57837397611938
94,246.7608587960439
95,68.88619910303237
96,62.47206580257486
97,629.1079907311647
98,90.97947390448155
99,65.926663527986
100,92.81822830265126
101,60.741913124514596
102,83.5081678256551
103,77.19476552358125
104,125.8918909082678
105,21.651976762016776
106,117.83362225731047
107,46.57532146974688
108,69.57421230052809
109,35.75610221065547
110,57.7062744384136
111,119.10764503675195
112,51.66579360577725
113,71.51237348197466
114,90.17866278424667
115,37.34949029533817
116,68.8639110376049
117,22.886972589979905
118,285.2581402810806
119,90.60847477257703
120,96.93187127455313
121,18.209928859127515
122,73.8364695209536
123,546.1843852785164
124,55.15419150481021
125,58.78780743309147
126,102.52367391991442
127,94.21587498973001
128,97.68478063114432
129,106.33022111242607
130,103.84633182217073
131,55.16153272618755
132,31.72291294749588
133,100.24295245510184
134,51.454037836718456
135,69.65453557515404
136,92.60791985757488
137,114.29258132296303
138,112.72741542754146
139,34.49962953504172
140,41.460853547454185
141,17.78040941562635
142,388.175284752893
143,19.4731080692999
144,77.3489067708359
145,912.870259612394
146,36.59325409754769
147,65.25957902337353
148,41.04549615345188
149,24.333439234280423
150,46.84500900589593
151,102.81079581946572
152,46.956760552016355
153,108.15031067263205
154,61.1637094738596
155,118.01819920586446
156,59.752423251294616
157,176.3233706978705
158,146.7299673652454
159,31.69417206614526
160,96.6370748875929
161,109.0513397650108
162,86.02622150731523
163,32.20550777871238
164,20.374626701582557
165,585.65923459783
166,82.14403344027416
167,52.903731013170265
168,90.43179765743433
169,62.10346227264967
170,114.43967989039668
171,44.76420789742224
172,124.17062860691834
173,38.291512861419804
174,191.69811913251036
